drug,sideEffect
DB00006,Hemoglobin_measurement
DB00006,Hemopericardium
DB00006,Hemoperitoneum
DB00006,Hemoptysis
DB00006,Hemorrhage
DB00006,Hypersensitivity
DB00006,Hypertensive_disease
DB00006,Hypotension
DB00006,Immune_system_diseases
DB00006,Inguinal_pain
DB00006,Injection_site_discomfort
DB00006,Injection_site_pain
DB00006,Injection_site_reaction
DB00006,Inr_increased
DB00006,Intracranial_hemorrhage
DB00006,Major_bleed
DB00006,Mediastinal_diseases
DB00006,Melena
DB00006,Myocardial_infarction
DB00006,Nausea
DB00006,Nervous_system_disorder
DB00006,Nervousness
DB00006,Pain
DB00006,Pelvic_pain
DB00006,Pharyngeal_hemorrhage
DB00006,Pseudoaneurysm
DB00006,Pulmonary_hemorrhage
DB00006,Puncture_site_reaction
DB00006,Reperfusion_injury
DB00006,Retroperitoneal_hematoma
DB00006,Retroperitoneal_hemorrhage
DB00006,Shock
DB00006,Skin_and_subcutaneous_tissue_disorders
DB00006,Sleeplessness
DB00006,Tachycardia%2C_ventricular
DB00006,Tension
DB00006,Thrombocytopenia
DB00006,Thrombosis
DB00006,Thrombosis_in_device
DB00006,Urethral_diseases
DB00006,Urinary_retention
DB00006,Urologic_diseases
DB00006,Urticaria
DB00006,Vascular_diseases
DB00006,Vessel_puncture_site_haematoma
DB00006,Vomiting
DB00007,Abdominal_discomfort
DB00007,Abdominal_pain
DB00007,Abnormal_mental_state
DB00007,Abscess
DB00007,Acne
DB00007,Acute_coronary_syndrome
DB00007,Alopecia
DB00007,Anemia
DB00007,Anorexia
DB00007,Anxiety
DB00007,Arthralgia
DB00007,Arthropathy
DB00007,Asthenia
DB00007,Asthma
DB00007,Back_pain
DB00007,Benign_neoplasm_of_pituitary_gland
DB00007,Bone_density_decreased
DB00007,Bone_diseases
DB00007,Bone_pain
DB00007,Breast_diseases
DB00007,Breast_tenderness
DB00007,Chest_pain
DB00007,Common_cold
DB00007,Congestion_of_nasal_sinus
DB00007,Congestive_heart_failure
DB00007,Connective_tissue_diseases
DB00007,Constipation
DB00007,Contusions
DB00007,Decrease_in_appetite
DB00007,Degenerative_polyarthritis
DB00007,Dehydration
DB00007,Dermatitis
DB00007,Dermatitis%2C_phototoxic
DB00007,Dermatologic_disorders
DB00007,Diabetes_mellitus
DB00007,Diarrhea
DB00007,Distress_gastrointestinal
DB00007,Dizziness
DB00007,Dyspnea
DB00007,Edema
DB00007,Erectile_dysfunction
DB00007,Erythema
DB00007,Erythema_multiforme
DB00007,Exanthema
DB00007,Feels_hot
DB00007,Fever
DB00007,Fibromyalgia
DB00007,Flushing
DB00007,Gastrointestinal_diseases
DB00007,Gastrointestinal_pain
DB00007,Gynecomastia
DB00007,Headache
DB00007,Headache_dull
DB00007,Hearing_impairment
DB00007,Hearing_problem
DB00007,Heart_murmur
DB00007,Hematuria
DB00007,Hot_flushes
DB00007,Hyperhidrosis_disorder
DB00007,Hypersensitivity
DB00007,Hypertensive_disease
DB00007,Hypotension
DB00007,Immune_system_diseases
DB00007,Increased_appetite_%28finding%29
DB00007,Increased_sweating
DB00007,Induration
DB00007,Induration_at_injection_site
DB00007,Infective_vaginitis
DB00007,Influenza
DB00007,Injection_site_edema
DB00007,Injection_site_pain
DB00007,Injection_site_reaction
DB00007,Ischemia
DB00007,Labile_affect
DB00007,Leukopenia
DB00007,Lightheadedness
DB00007,Liver_dysfunction
DB00007,Loss_of_appetite_%28finding%29
DB00007,Malignant_neoplasm_of_prostate
DB00007,Malnutrition
DB00007,Menopausal_symptom
DB00007,Mental_depression
DB00007,Mental_disorders
DB00007,Mood_swings
DB00007,Musculoskeletal_discomfort
DB00007,Myalgia
DB00007,Myocardial_infarction
DB00007,Nasopharyngitis
DB00007,Nausea
DB00007,Neck_pain
DB00007,Nervous_system_disorder
DB00007,Nervousness
DB00007,Neuromuscular_diseases
DB00007,Nodule
DB00007,Oculomotor_nerve_paralysis
DB00007,Ophthalmoplegia
DB00007,Pain
DB00007,Paralysed
DB00007,Paresthesia
DB00007,Peripheral_edema
DB00007,Peripheral_neuropathy
DB00007,Phlebitis
DB00007,Pituitary_adenoma
DB00007,Pituitary_apoplexy
DB00007,Pituitary_hemorrhage
DB00007,Pituitary_infarction
DB00007,Prostatic_pain
DB00007,Pruritus
DB00007,Pulmonary_embolism
DB00007,Rhinitis
DB00007,Seborrheic_dermatitis
DB00007,Seizures
DB00007,Sensation_of_warmth
DB00007,Shock
DB00007,Skin_and_subcutaneous_tissue_disorders
DB00007,Sleep_disorders
DB00007,Sleeplessness
DB00007,Somnolence
DB00007,Spasm
DB00007,Spinal_fractures
DB00007,Stinging_sensation
DB00007,Sweating
DB00007,Tenosynovitis
DB00007,Tension
DB00007,Thrombophlebitis
DB00007,Thrombosis
DB00007,Ulcer
DB00007,Urethral_diseases
DB00007,Urinary_tract_infection
DB00007,Urologic_diseases
DB00007,Urticaria
DB00007,Vaginal_discharge
DB00007,Vaginal_hemorrhage
DB00007,Vaginitis
DB00007,Vascular_diseases
DB00007,Vasodilation
DB00007,Vasodilation_procedure
DB00007,Vertigo
DB00007,Vomiting
DB00007,Weight_decreased
DB00007,Weight_gain
DB00007,White_blood_cell_count_decreased
DB00008,Colitis
DB00008,Hepatitis
DB00008,Hyperthyroidism
DB00008,Hypothyroidism
DB00008,Nephritis
DB00008,Pneumonitis
DB00014,Abdominal_pain
DB00014,Abnormal_mental_state
DB00014,Acne
DB00014,Acute_coronary_syndrome
DB00014,Adverse_reactions
DB00014,Alopecia
DB00014,Alteration_in_patterns_of_urinary_elimination
DB00014,Amenorrhea
DB00014,Anemia
DB00014,Angina_pectoris
DB00014,Anorexia
DB00014,Anxiety
DB00014,Application_site_reaction
DB00014,Arthralgia
DB00014,Arthropathy
DB00014,Asthenia
DB00014,Atrophy_of_breast
DB00014,Back_pain
DB00014,Benign_neoplasm_of_pituitary_gland
DB00014,Bladder_neoplasm
DB00014,Bladder_pain
DB00014,Blood_pressure_alteration_%28finding%29
DB00014,Blood_pressure_fluctuation
DB00014,Bone_pain
DB00014,Bronchial_hyperreactivity
DB00014,Bronchitis
DB00014,Cardiac_arrhythmia
DB00014,Cerebral_ischemia
DB00014,Cerebrovascular_accident
DB00014,Chills
DB00014,Chronic_obstructive_airway_disease
DB00014,Communicable_diseases
DB00014,Congestive_heart_failure
DB00014,Constipation
DB00014,Coughing
DB00014,Cramps_of_lower_extremities
DB00014,Cystitis
DB00014,Decrease_in_appetite
DB00014,Decreased_libido
DB00014,Deep_vein_thrombosis
DB00014,Degenerative_polyarthritis
DB00014,Dermatitis
DB00014,Diabetes_mellitus
DB00014,Diarrhea
DB00014,Disturbance_in_sexual_arousal
DB00014,Dizziness
DB00014,Dysmenorrhea
DB00014,Dyspareunia
DB00014,Dyspepsia
DB00014,Dyspnea
DB00014,Dysuria
DB00014,Edema
DB00014,Epistaxis
DB00014,Erectile_dysfunction
DB00014,Exanthema
DB00014,Fatigue
DB00014,Feeling_abnormal
DB00014,Flatulence
DB00014,Fracture
DB00014,Fractures%2C_multiple
DB00014,Gastrointestinal_pain
DB00014,Gout
DB00014,Gynecomastia
DB00014,Hair_diseases
DB00014,Headache
DB00014,Heart_failure
DB00014,Hematemesis
DB00014,Hematuria
DB00014,Hemoglobin_measurement
DB00014,Hemorrhage
DB00014,Herpes_simplex_infections
DB00014,Hirsutism
DB00014,Hot_flushes
DB00014,Hypercalcemia
DB00014,Hyperhidrosis_disorder
DB00014,Hypersensitivity
DB00014,Hypertensive_disease
DB00014,Hypotension
DB00014,Ill-defined_disease
DB00014,Increased_appetite_%28finding%29
DB00014,Increased_frequency_of_micturition
DB00014,Increased_libido
DB00014,Increasing_frequency_of_cough
DB00014,Infective_vaginitis
DB00014,Influenza
DB00014,Labile_affect
DB00014,Lethargy
DB00014,Lower_urinary_tract_symptoms
DB00014,Macromastia
DB00014,Malaise
DB00014,Mastodynia
DB00014,Menopausal_symptom
DB00014,Menorrhagia
DB00014,Mental_depression
DB00014,Mental_disorders
DB00014,Migraine_disorders
DB00014,Mood_swings
DB00014,Muscle_hypertonia
DB00014,Musculoskeletal_discomfort
DB00014,Myalgia
DB00014,Myocardial_infarction
DB00014,Nausea
DB00014,Neoplasms
DB00014,Nervousness
DB00014,Nocturia
DB00014,Non-infectious_cystitis
DB00014,Oculomotor_nerve_paralysis
DB00014,Ophthalmoplegia
DB00014,Osteoporosis
DB00014,Ovarian_cysts
DB00014,Ovarian_hyperstimulation_syndrome
DB00014,Pain
DB00014,Paresthesia
DB00014,Pelvic_pain
DB00014,Peripheral_edema
DB00014,Peripheral_vascular_diseases
DB00014,Pharyngitis
DB00014,Pituitary_adenoma
DB00014,Pituitary_apoplexy
DB00014,Pituitary_hemorrhage
DB00014,Pituitary_infarction
DB00014,Pituitary_neoplasms
DB00014,Pneumonia
DB00014,Proctitis
DB00014,Pruritus
DB00014,Psychotic_disorders
DB00014,Pulmonary_embolism
DB00014,Reaction_aggravation
DB00014,Rectal_hemorrhage
DB00014,Seborrheic_dermatitis
DB00014,Secondary_malignant_neoplasm_of_bone
DB00014,Seizures
DB00014,Sensory_discomfort
DB00014,Sepsis
DB00014,Sexual_dysfunction
DB00014,Shock
DB00014,Sinusitis
DB00014,Sleeplessness
DB00014,Spasm
DB00014,Sweating
DB00014,Tachycardia
DB00014,Tension
DB00014,Transient_ischemic_attack
DB00014,Tumor_flare
DB00014,Ulcer
DB00014,Upper_respiratory_infections
DB00014,Urethral_diseases
DB00014,Urinary_incontinence
DB00014,Urinary_retention
DB00014,Urinary_tract_infection
DB00014,Urologic_diseases
DB00014,Uterine_hemorrhage
DB00014,Vaginitis
DB00014,Varicosity
DB00014,Vomiting
DB00014,Vulvovaginitis
DB00014,Weight_gain
DB00014,Xerostomia
DB00017,Allergy
DB00022,Colitis
DB00022,Hepatitis
DB00022,Hyperthyroidism
DB00022,Hypothyroidism
DB00022,Nephritis
DB00022,Pneumonitis
DB00023,Pancreatitis
DB00026,Nausea
DB00026,Vomiting
DB00034,Cold_sores
DB00034,Hepatotoxicity
DB00034,Hyperthyroidism
DB00034,Hypothyroidism
DB00034,Nausea
DB00034,Neurotoxicity
DB00034,Skin_rash
DB00034,Sores
DB00034,Vomiting
DB00035,Abdominal_pain
DB00035,Acute_myocardial_infarction
DB00035,Aggressive_behavior
DB00035,Anxiety
DB00035,Asthenia
DB00035,Chills
DB00035,Comatose
DB00035,Conjunctivitis
DB00035,Constipation
DB00035,Dermatitis
DB00035,Diarrhea
DB00035,Dizziness
DB00035,Epistaxis
DB00035,Exanthema
DB00035,Eye_oedema
DB00035,Fever
DB00035,Gastroenteritis
DB00035,Gastrointestinal_diseases
DB00035,Gastrointestinal_pain
DB00035,Headache
DB00035,Hypertensive_disease
DB00035,Hyponatraemic
DB00035,Hyponatremia
DB00035,Labile_affect
DB00035,Mental_depression
DB00035,Mood_swings
DB00035,Nasal_congestion_%28finding%29
DB00035,Nasal_discomfort
DB00035,Nausea
DB00035,Oropharyngeal_discomfort
DB00035,Oropharyngeal_pain
DB00035,Pain
DB00035,Rash_both_legs
DB00035,Respiratory_tract_infections
DB00035,Rhinitis
DB00035,Seizures
DB00035,Sleeplessness
DB00035,Somnolence
DB00035,Sore_throat
DB00035,Thrombosis
DB00035,Upper_respiratory_infections
DB00035,Vasodilation
DB00035,Vasodilation_procedure
DB00035,Vomiting
DB00035,Water_intoxication
DB00046,Abdominal_pain
DB00046,Accidental_injury
DB00046,Asthenia
DB00046,Bronchitis
DB00046,Communicable_diseases
DB00046,Coughing
DB00046,Diarrhea
DB00046,Dysmenorrhea
DB00046,Fever
DB00046,Gastrointestinal_pain
DB00046,Headache
DB00046,Increasing_frequency_of_cough
DB00046,Influenza
DB00046,Musculoskeletal_discomfort
DB00046,Myalgia
DB00046,Nausea
DB00046,Obstruction
DB00046,Pain
DB00046,Pharyngitis
DB00046,Rhinitis
DB00046,Traumatic_injury
DB00046,Urinary_tract_infection
DB00047,Accidental_injury
DB00047,Arthralgia
DB00047,Back_pain
DB00047,Bronchitis
DB00047,Cataract
DB00047,Communicable_diseases
DB00047,Coughing
DB00047,Diarrhea
DB00047,Gastroenteritis
DB00047,Headache
DB00047,Hypertensive_disease
DB00047,Hypoglycemia
DB00047,Influenza
DB00047,Injection_site_hemorrhage
DB00047,Injection_site_pain
DB00047,Malignant_neoplasms
DB00047,Mental_depression
DB00047,Musculoskeletal_discomfort
DB00047,Neuropathy
DB00047,Pain_in_limb
DB00047,Peripheral_edema
DB00047,Peripheral_neuropathy
DB00047,Pharyngitis
DB00047,Reactive_hypoglycemia
DB00047,Retinal_vascular_disorder
DB00047,Rhinitis
DB00047,Sinusitis
DB00047,Traumatic_injury
DB00047,Upper_respiratory_infections
DB00047,Urinary_tract_infection
DB00047,Allergic_reaction
DB00047,Nausea
DB00049,Abdominal_pain
DB00049,Alanine_aminotransferase_increased
DB00049,Anaphylaxis
DB00049,Anxiety
DB00049,Bronchospasm
DB00049,Constipation
DB00049,Dermatitis
DB00049,Diarrhea
DB00049,Exanthema
DB00049,Fever
DB00049,Fluid_overload
DB00049,Gastrointestinal_pain
DB00049,Headache
DB00049,Hyperbilirubinemia
DB00049,Hyperphosphatemia_%28disorder%29
DB00049,Hypersensitivity
DB00049,Hypophosphatemia
DB00049,Hypotension
DB00049,Inflammatory_disease_of_mucous_membrane
DB00049,Larynx_pain
DB00049,Nausea
DB00049,Peripheral_edema
DB00049,Pharyngolaryngeal_pain
DB00049,Rhinitis
DB00049,Sepsis
DB00049,Vomiting
DB00050,Anaphylaxis
DB00050,Headache
DB00050,Hypersensitivity
DB00050,Local_reaction
DB00050,Nausea
DB00050,Ovarian_diseases
DB00051,Transaminases
DB00059,Anaphylaxis
DB00059,Hepatotoxicity
DB00059,Transaminases
DB00062,Anaphylaxis
DB00062,Nausea
DB00062,Skin_rash
DB00062,Vomiting
DB00063,Abdominal_pain
DB00063,Acute_coronary_syndrome
DB00063,Anaphylaxis
DB00063,Arterial_malformation
DB00063,Atrial_fibrillation
DB00063,Atrioventricular_block
DB00063,Cardiac_arrest
DB00063,Cerebral_ischemia
DB00063,Cerebrovascular_accident
DB00063,Chest_pain
DB00063,Communicable_diseases
DB00063,Congenital_anomaly_of_artery
DB00063,Congestive_heart_failure
DB00063,Coronary_artery_disease
DB00063,Coronary_occlusion
DB00063,Dermatitis
DB00063,Dyspepsia
DB00063,Dyspnea
DB00063,Epistaxis
DB00063,Exanthema
DB00063,Fever
DB00063,Gastrointestinal_hemorrhage
DB00063,Gastrointestinal_pain
DB00063,Headache
DB00063,Heart_failure
DB00063,Hematemesis
DB00063,Hematoma
DB00063,Hematuria
DB00063,Hemoglobin_measurement
DB00063,Hemorrhage
DB00063,Hypersensitivity
DB00063,Hypertensive_disease
DB00063,Hypotension
DB00063,Intracranial_hemorrhage
DB00063,Myocardial_infarction
DB00063,Nausea
DB00063,Pain
DB00063,Pericardial_effusion
DB00063,Phlebitis
DB00063,Pneumonia
DB00063,Pulmonary_hemorrhage
DB00063,Retroperitoneal_hemorrhage
DB00063,Shock
DB00063,Tachycardia%2C_ventricular
DB00063,Thrombocytopenia
DB00063,Thrombophlebitis
DB00063,Traumatic_injury
DB00063,Urticaria
DB00063,Ventricular_fibrillation
DB00063,Wounds_and_injuries
DB00066,Nausea
DB00091,Hepatotoxicity
DB00091,Nephrotoxicity
DB00094,Abdomen_distended
DB00094,Abdominal_cramps
DB00094,Abdominal_discomfort
DB00094,Abdominal_pain
DB00094,Accidental_injury
DB00094,Acne
DB00094,Anaphylactoid_reaction
DB00094,Anaphylaxis
DB00094,Application_site_edema
DB00094,Asthenia
DB00094,Asthma
DB00094,Back_pain
DB00094,Bladder_pain
DB00094,Breast_diseases
DB00094,Breast_pain_female
DB00094,Breast_tenderness
DB00094,Candida_infection_of_genital_region
DB00094,Cervix_diseases
DB00094,Communicable_diseases
DB00094,Connective_tissue_diseases
DB00094,Constipation
DB00094,Contusions
DB00094,Coughing
DB00094,Cyst
DB00094,Cystitis
DB00094,Dehydration
DB00094,Dermatitis
DB00094,Dermatologic_disorders
DB00094,Dermoid_cyst
DB00094,Diarrhea
DB00094,Dizziness
DB00094,Dysmenorrhea
DB00094,Dyspepsia
DB00094,Ectopic_pregnancy
DB00094,Embolism
DB00094,Enlargement_abdomen
DB00094,Erythema
DB00094,Exanthema
DB00094,Exfoliative_dermatitis
DB00094,Fatigue
DB00094,Feeling_abnormal
DB00094,Fetal_diseases
DB00094,Fever
DB00094,Flatulence
DB00094,Fullness_abdominal
DB00094,Gastrointestinal_diseases
DB00094,Gastrointestinal_pain
DB00094,Genital_pain
DB00094,Gynecological-related_pain
DB00094,Gynecomastia
DB00094,Headache
DB00094,Hot_flushes
DB00094,Hypersensitivity
DB00094,Hypertensive_disease
DB00094,Ill-defined_disease
DB00094,Immune_system_diseases
DB00094,Increased_frequency_of_micturition
DB00094,Infestation
DB00094,Influenza-like_illness
DB00094,Influenza-like_symptoms
DB00094,Injection_site_bruising
DB00094,Injection_site_hemorrhage
DB00094,Injection_site_inflammation
DB00094,Injection_site_pain
DB00094,Injection_site_reaction
DB00094,Labile_affect
DB00094,Lesion_of_cervix
DB00094,Leukorrhea
DB00094,Lower_abdominal_pain
DB00094,Malaise
DB00094,Mastodynia
DB00094,Mediastinal_diseases
DB00094,Menopausal_symptom
DB00094,Menstruation_disturbances
DB00094,Mental_depression
DB00094,Metrorrhagia
DB00094,Migraine_disorders
DB00094,Mood_swings
DB00094,Multiple_pregnancy
DB00094,Muscle_cramp
DB00094,Mycoses
DB00094,Nasopharyngitis
DB00094,Nausea
DB00094,Neck_pain
DB00094,Nervous_system_disorder
DB00094,Non-infectious_cystitis
DB00094,Oral_ulcer
DB00094,Ovarian_cysts
DB00094,Ovarian_diseases
DB00094,Ovarian_enlargement
DB00094,Ovarian_hyperstimulation
DB00094,Ovarian_hyperstimulation_syndrome
DB00094,Pain
DB00094,Parasite_infestation
DB00094,Pelvic_discomfort
DB00094,Pelvic_pain
DB00094,Pelvic_pain_female
DB00094,Pharyngitis
DB00094,Pruritus
DB00094,Redness
DB00094,Rhinitis
DB00094,Sensory_discomfort
DB00094,Shock
DB00094,Sinusitis
DB00094,Skin_and_subcutaneous_tissue_disorders
DB00094,Spasm
DB00094,Spontaneous_abortion
DB00094,Spotting_vaginal
DB00094,Swelling
DB00094,Thromboembolism
DB00094,Toothache
DB00094,Traumatic_injury
DB00094,Ulcerative_stomatitis
DB00094,Upper_respiratory_infections
DB00094,Urinary_tract_infection
DB00094,Uterine_hemorrhage
DB00094,Vaginal_discharge
DB00094,Vaginal_hemorrhage
DB00094,Varicocele
DB00094,Vascular_diseases
DB00094,Venous_embolism
DB00094,Virus_diseases
DB00094,Vomiting
DB00094,Weight_gain
DB00099,Allergic_reaction
DB00099,Alopecia
DB00099,Anaphylaxis
DB00099,Nephritis
DB00099,Neutropenia
DB00104,Abdomen_distended
DB00104,Abdominal_bloating
DB00104,Abdominal_discomfort
DB00104,Abdominal_pain
DB00104,Abnormal_feces
DB00104,Absence_of_sensation
DB00104,Acne
DB00104,Acute_hepatitis
DB00104,Acute_pancreatitis
DB00104,Adrenal_gland_hypofunction
DB00104,Alopecia
DB00104,Anaphylaxis
DB00104,Anorectal_diseases
DB00104,Anorexia
DB00104,Anxiety
DB00104,Arthralgia
DB00104,Arthritis
DB00104,Asthenia
DB00104,Back_pain
DB00104,Biliary_sludge
DB00104,Blood_thyroid_stimulating_hormone_decreased
DB00104,Bradycardia
DB00104,Cardiac_arrhythmia
DB00104,Cardiac_disease
DB00104,Cholecystitis
DB00104,Cholelithiasis
DB00104,Cholestasis
DB00104,Cholestatic_hepatitis
DB00104,Cold_symptoms
DB00104,Communicable_diseases
DB00104,Constipation
DB00104,Contusions
DB00104,Cramps_of_lower_extremities
DB00104,Decrease_in_appetite
DB00104,Degenerative_polyarthritis
DB00104,Dehydration
DB00104,Dermatitis
DB00104,Dermatologic_disorders
DB00104,Diarrhea
DB00104,Dizziness
DB00104,Dyspepsia
DB00104,Dyspnea
DB00104,Dysuria
DB00104,Edema
DB00104,Epistaxis
DB00104,Eructation
DB00104,Exanthema
DB00104,Fatigue
DB00104,Fever
DB00104,Flatulence
DB00104,Flu_symptoms
DB00104,Flushing
DB00104,Foot_pain
DB00104,Free_thyroxine_concentration_decreased_below_normal
DB00104,Gastrointestinal_hemorrhage
DB00104,Gastrointestinal_pain
DB00104,Headache
DB00104,Hematoma
DB00104,Hemorrhoids
DB00104,Hepatobiliary_disease
DB00104,Hot_flushes
DB00104,Hyperbilirubinemia
DB00104,Hyperglycemia
DB00104,Hypersensitivity
DB00104,Hypesthesia
DB00104,Hypoglycemia
DB00104,Hypogonadism
DB00104,Hypothyroidism
DB00104,Icterus
DB00104,Immune_system_diseases
DB00104,Impaired_glucose_tolerance
DB00104,Increased_frequency_of_micturition
DB00104,Influenza
DB00104,Influenza-like_illness
DB00104,Influenza-like_symptoms
DB00104,Injection_site_pain
DB00104,Intestinal_obstruction
DB00104,Irritable_mood
DB00104,Jaundice%2C_obstructive
DB00104,Localized_pain
DB00104,Loose_stool
DB00104,Mammary_neoplasms
DB00104,Mass_in_breast
DB00104,Menopausal_symptom
DB00104,Muscle_cramp
DB00104,Muscle_twitch
DB00104,Musculoskeletal_discomfort
DB00104,Nasal_congestion_%28finding%29
DB00104,Nasopharyngitis
DB00104,Nausea
DB00104,Numbness
DB00104,Oropharyngeal_discomfort
DB00104,Oropharyngeal_pain
DB00104,Pain
DB00104,Pain_in_limb
DB00104,Polyuria
DB00104,Prostatitis
DB00104,Pruritus
DB00104,Pruritus_of_vagina
DB00104,Rectal_diseases
DB00104,Renal_pain
DB00104,Sinusitis
DB00104,Skin_and_subcutaneous_tissue_disorders
DB00104,Sleeplessness
DB00104,Sore_throat
DB00104,Spasm
DB00104,Steatorrhea
DB00104,Tachycardia
DB00104,Thrombocytopenia
DB00104,Thyroid_diseases
DB00104,Thyroid_dysfunction
DB00104,Thyrotropin_low
DB00104,Tinnitus
DB00104,Tired_and_heavy
DB00104,Transaminases_increased
DB00104,Urinary_tract_infection
DB00104,Urine_output_increased
DB00104,Urticaria
DB00104,Visual_disturbance
DB00104,Visual_impairment
DB00104,Vomiting
DB00104,Vulvovaginal_pruritus
DB00104,Weight_gain
DB00104,Xerostomia
DB00106,Asthenia
DB00106,Back_pain
DB00106,Constipation
DB00106,Diarrhea
DB00106,Dizziness
DB00106,Dysuria
DB00106,Fatigue
DB00106,Headache
DB00106,Hot_flushes
DB00106,Increased_frequency_of_micturition
DB00106,Macromastia
DB00106,Mastodynia
DB00106,Menopausal_symptom
DB00106,Nausea
DB00106,Nipple_pain
DB00106,Nipple_tenderness
DB00106,Pain
DB00106,Peripheral_edema
DB00106,Sleep_disorders
DB00106,Sleep_disturbances
DB00106,Upper_respiratory_infections
DB00106,Urinary_retention
DB00106,Urinary_tract_infection
DB00107,Anaphylactoid_reaction
DB00107,Anaphylaxis
DB00107,Dermatitis
DB00107,Dyspnea
DB00107,Exanthema
DB00107,Hypotension
DB00107,Nausea
DB00107,Shock
DB00107,Vomiting
DB00109,Abdominal_pain
DB00109,Acne
DB00109,Anorexia
DB00109,Anxiety
DB00109,Asthenia
DB00109,Blood_triglycerides_increased
DB00109,Conjunctivitis
DB00109,Coughing
DB00109,Cyst
DB00109,Decrease_in_appetite
DB00109,Diabetes_mellitus
DB00109,Diarrhea
DB00109,Disturbance_of_attention
DB00109,Dry_skin
DB00109,Ecchymosis
DB00109,Erythema
DB00109,Fatigue
DB00109,Folliculitis
DB00109,Gastroesophageal_reflux_disease
DB00109,Gastrointestinal_pain
DB00109,Hematuria
DB00109,Herpes_simplex_infections
DB00109,Hypertriglyceridemia
DB00109,Hypesthesia
DB00109,Induration
DB00109,Infection_of_ear
DB00109,Influenza
DB00109,Influenza-like_illness
DB00109,Irritable_mood
DB00109,Kidney_calculi
DB00109,Lymphadenopathy
DB00109,Musculoskeletal_discomfort
DB00109,Myalgia
DB00109,Nasal_congestion_%28finding%29
DB00109,Nausea
DB00109,Nephrolithiasis
DB00109,Nightmares
DB00109,Nodule
DB00109,Pain
DB00109,Pain_in_limb
DB00109,Pancreatitis
DB00109,Peripheral_neuropathy
DB00109,Pneumonia
DB00109,Pruritus
DB00109,Seborrheic_dermatitis
DB00109,Sensory_discomfort
DB00109,Sinusitis
DB00109,Skin_papilloma
DB00109,Tremor
DB00109,Vertigo
DB00109,Weight_decreased
DB00109,Xerostomia
DB00112,Bleeding
DB00119,Myopathy
DB00125,Anaphylaxis
DB00125,Extravasation
DB00125,Hematuria
DB00125,Hypersensitivity
DB00125,Operative_surgical_procedures
DB00125,Peeling_of_skin
DB00125,Skin_necrosis
DB00125,Surgical_intervention_%28finding%29
DB00125,Nausea
DB00130,Abdomen_distended
DB00130,Abdominal_pain
DB00130,Anorectal_discomfort
DB00130,Arthralgia
DB00130,Asthenia
DB00130,Back_pain
DB00130,Bacterial_infections
DB00130,Breast_pain_female
DB00130,Candidiasis
DB00130,Chest_pain
DB00130,Chills
DB00130,Communicable_diseases
DB00130,Constipation
DB00130,Crohn_disease
DB00130,Crohns_disease_aggravated
DB00130,Dehydration
DB00130,Dermatitis
DB00130,Dizziness
DB00130,Edema
DB00130,Enlargement_abdomen
DB00130,Exanthema
DB00130,Fatigue
DB00130,Feeling_abnormal
DB00130,Fever
DB00130,Flatulence
DB00130,Gastric_ulcer
DB00130,Gastrointestinal_pain
DB00130,Headache
DB00130,Hemorrhoids
DB00130,Hyperhidrosis_disorder
DB00130,Hypersensitivity
DB00130,Ill-defined_disease
DB00130,Increased_sweating
DB00130,Injection_site_pain
DB00130,Injection_site_reaction
DB00130,Kidney_calculi
DB00130,Laryngitis
