DrugBankID,DrugName
DB01582,Sulfamethazine
DB01586,Ursodeoxycholic_acid
DB01606,Tazobactam
DB01610,Valganciclovir
DB06151,Acetylcysteine
DB06717,Fosaprepitant
DB06723,Aluminum_hydroxide
DB06724,Calcium_carbonate
DB09020,Bisacodyl
DB09104,Magnesium_hydroxide
DB09110,Coenzyme_m
DB09153,Sodium_chloride
DB09287,Polyethylene_glycol
DB09325,Sodium_fluoride
DB09341,"Dextrose,_unspecified_form"
DB09413,Monopotassium_phosphate
DB09449,"Sodium_phosphate,_monobasic"
DB09512,Simethicone
DB11089,Docusate
DB11094,Vitamin_d
DB11110,Magnesium_citrate
DB11126,Calcium_gluconate
DB11150,Barium_sulfate
DB11230,Magnesium_aluminum_silicate
DB11601,Tuberculin_purified_protein_derivative
DB13139,Levosalbutamol
DB13257,Ferrous_sulfate_anhydrous
DB14488,Ferrous_gluconate
DB14545,Hydrocortisone_succinate
DB15566,Prednisolone_acetate
DB15889,Senna_leaf
